AE_UP,AE_DOWN,CCKRi_Sig,db/db_UP_revised,Early Epi
SAT1,AMY2A,Tmc5,Prss1,Alb
MMP7,AMY2B,Reg3d,Gm10334,Alb1
OLFM4,CELA2A,Arntl,Prss3,Ambp
LYZ,PNLIP,Chrm1,Kel,Ambp1
S100A6,CLPS,Epn3,Reg3b,Anpep
CD74,SYCN,P2rx1,Try10,Apcs
MALAT1,CELA3B,Fam189b,Try5,Cbs
SOX4,CELA2B,Dpy19l3,Slc7a11,Ces1d
TMSB10,PRSS1,Itgb4,Ntn1,Cldn10
S100A11,CPA1,Slc41a1,Sycn,CREBBP 
SOD2,CTRL,Pgpep1,Dmbt1,Cyr61
VIM,CTRB1,Pcdh1,Rbpjl,Dcdc2a
UBD,CPB1,Rab43,Serpinb1a,Ddah2
IL32,GP2,Adck3,Try4,DDX3X 
HLA-B,CTRC,Src,Nupr1,ETV5
NNMT,PLA2G1B,Pdgfb,Erp27,ETV6
B2M,CELA3A,Plxnd1,Myo5c,FGFR2
C3,CEL,Atoh8,Il22ra1,FGFR4
TACSTD2,KLK1,Abcb9,Pnliprp2,Foxo3
NEAT1,PRSS3,St6galnac4,Lrrc7,Gstm5
MDK,RNASE1,Ppp1r16a,Pla2g1b,HNF1B
SERPINA1,MT1X,Spns2,Vipr2,ING1
KRT7,CTC-479C5.12,Ppp1r13l,9130230L23Rik,KIF1B
TMSB4X,CPA2,Amdhd2,Slfn9,Krt17
HLA-DRA,PNLIPRP1,Gm4262,2210010C04Rik,Mia
HLA-C,MT1G,Cxxc5,Cpa2,Nedd4l
HLA-A,NUPR1,Myrf,Slc7a3,Prox1
ACTG1,SERPINI2,Tmem63a,Ctrb1,Ptgds
ACTB,AQP8,Med24,,Rgs5
TM4SF1,PDIA2,S1pr2,,SDHB
CCL2,,Kremen1,,SGK1
HSPB1,,1810041L15Rik,,Tox3
LCN2,,Sphk2,,Wfdc15b
ELF3,,Sema4a,,
CFL1,,Iffo2,,
TPM1,,Nes,,
MARCKSL1,,Plxnb2,,
FSTL3,,Pm20d1,,
KRT19,,Mroh1,,
MYL12B,,Cd276,,
TAGLN2,,Hs6st1,,
KRT18,,Pwwp2b,,
IFITM3,,Lrrc47,,
MYL12A,,Pxylp1,,
SDC4,,Irf6,,
XIST,,Gtf3c5,,
PFN1,,Rab11fip5,,
FTH1,,Igsf3,,
TIMP1,,Wbp1l,,
ZFAS1,,Slc7a4,,
KRT8,,Tead2,,
S100A10,,Zfp553,,
HLA-DRB1,,Lnx2,,
H3F3A,,,,
LTB,,,,
CLDN4,,,,
HNRNPA1,,,,
REG1B,,,,
CXCL2,,,,
RPL15,,,,
CD44,,,,
KTN1,,,,
BIRC3,,,,
PTMA,,,,
PDLIM1,,,,
LGALS3,,,,
CLIC1,,,,
PDZK1IP1,,,,
WFDC2,,,,
RPL28,,,,
LGALS1,,,,
CALM2,,,,
PERP,,,,
RAC1,,,,
CSTB,,,,
MYH9,,,,
CD59,,,,
SORBS2,,,,
TAPBP,,,,
S100A4,,,,
GAPDH,,,,
GPX4,,,,
CD47,,,,
MYL6,,,,
RAB11FIP1,,,,
SLC25A6,,,,
SH3BGRL3,,,,
STMN1,,,,
HLA-DPB1,,,,
SERPING1,,,,
YBX1,,,,
TNFRSF12A,,,,
NACA,,,,
HLA-E,,,,
PPP1CB,,,,
EEF1A1,,,,
CFB,,,,
CDC42,,,,
PPA1,,,,
RPS4X,,,,
ZFP36L1,,,,
H3F3B,,,,
C1S,,,,
RPS19,,,,
SPINT2,,,,
OCIAD2,,,,
EIF1,,,,
RPS20,,,,
IL8,,,,
RPLP0,,,,
SRI,,,,
WSB1,,,,
NPM1,,,,
CD151,,,,
HLA-DPA1,,,,
RPS27,,,,
RPL26,,,,
ACTN4,,,,
RPS3,,,,
TUBB,,,,
BTF3,,,,
SRP14,,,,
EIF4A1,,,,
NPC2,,,,
CYP3A5,,,,
RPS6,,,,
MGP,,,,
CARHSP1,,,,
GSTP1,,,,
RPL6,,,,
PABPC1,,,,
SHFM1,,,,
HINT1,,,,
PPDPF,,,,
SON,,,,
CD63,,,,
CD9,,,,
ITGB1,,,,
VMP1,,,,
CXCL6,,,,
HMGB1,,,,
VAMP8,,,,
PPIA,,,,
GPX1,,,,
