,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,BioPlanet_2019,T cell receptor regulation of apoptosis,13 of 603,1.8288750082106227e-11,8.449402537933076e-09,0,0,18.56020633750921,458.8961831424026,TOP2A;EGR1;JUN;CDKN1A;FOS;YBX1;SOD2;CLU;CCND1;PTMA;ATF4;PTGES;HMGN1
1,BioPlanet_2019,TGF-beta signaling pathway,8 of 185,1.1165641081343231e-09,2.579263089790287e-07,0,0,31.940274414850688,658.3851840169425,KLF10;ITGB1;JUN;CCND1;CDK1;FOS;RNF111;SMAD7
2,BioPlanet_2019,AP-1 transcription factor network,6 of 70,2.6473186616465193e-09,4.0768707389356406e-07,0,0,62.1875,1228.1856213942756,EGR1;ACTA1;JUN;CCND1;CDK1;FOS
3,BioPlanet_2019,Regular glucocorticoid receptor pathway,6 of 82,6.9616533065822385e-09,8.040709569102484e-07,0,0,52.33684210526316,983.034994379904,EGR1;JUN;CDKN1A;SUMO2;FOS;CDK5R1
4,BioPlanet_2019,BDNF signaling pathway,7 of 261,3.593307218644853e-07,3.320215870027845e-05,0,0,18.73065435786044,277.944604110345,KLF10;EGR1;JUN;BTG2;CDKN1A;FOS;CLU
5,BioPlanet_2019,Signaling of hepatocyte growth factor receptor,4 of 38,6.245439764887541e-07,4.808988618963407e-05,0,0,73.2720588235294,1046.7825174135353,ITGB1;ACTA1;JUN;FOS
6,BioPlanet_2019,Gastrin pathway,4 of 44,1.139798755921553e-06,7.215280907545816e-05,0,0,62.2625,852.0410710899093,ITGB1;JUN;CCND1;FOS
7,BioPlanet_2019,RhoA signaling pathway,4 of 45,1.249399291349925e-06,7.215280907545816e-05,0,0,60.74085365853659,825.64117228515,ITGB1;ACTA1;JUN;FOS
8,BioPlanet_2019,ATF2 transcription factor network,4 of 59,3.748715752488803e-06,0.0001914822315438504,0,0,45.24772727272728,565.3295045539002,ACHE;JUN;CCND1;FOS
9,BioPlanet_2019,Mitotic G1-G1/S phases,5 of 135,4.144637046403688e-06,0.0001914822315438504,0,0,24.60794044665012,304.98331677685945,TOP2A;CDKN1A;CCND1;CDK1;MNAT1
10,BioPlanet_2019,Signaling events mediated by focal adhesion kinase,4 of 62,4.577174654039502e-06,0.00019224133546965908,0,0,42.90086206896552,527.4415872136912,ITGB1;ACTA1;JUN;CCND1
11,BioPlanet_2019,Validated nuclear estrogen receptor alpha network,4 of 64,5.20000141380238e-06,0.0002002000544313916,0,0,41.46666666666667,504.5187821883957,JUN;MTA1;CCND1;HSF2
12,BioPlanet_2019,G1 to S cell cycle control,4 of 67,6.248942970591274e-06,0.0002220778194163976,0,0,39.48611111111112,473.1659482924641,CDKN1A;CCND1;CDK1;MNAT1
13,BioPlanet_2019,Myc repressed pathway,4 of 73,8.805873341129527e-06,0.0002671679792479249,0,0,36.04166666666666,419.5283026413933,ITGB1;CDKN1A;CCND1;CLU
14,BioPlanet_2019,Signaling events mediated by PRL,3 of 23,9.252570709884843e-06,0.0002671679792479249,0,0,90.65454545454546,1050.7414022639623,ITGB1;EGR1;CDKN1A
15,BioPlanet_2019,Cyclins and cell cycle regulation,3 of 23,9.252570709884843e-06,0.0002671679792479249,0,0,90.65454545454546,1050.7414022639623,CDKN1A;CCND1;CDK1
16,BioPlanet_2019,ATM-dependent DNA damage response,4 of 82,1.3988659786163267e-05,0.0003590422678448572,0,0,31.868589743589745,356.20362722766305,JUN;CDKN1A;CCND1;SOD2
17,BioPlanet_2019,SMAD2/3 nuclear pathway,4 of 82,1.3988659786163267e-05,0.0003590422678448572,0,0,31.868589743589745,356.20362722766305,JUN;CDKN1A;FOS;SMAD7
18,BioPlanet_2019,Oxidative stress,3 of 27,1.520626668798976e-05,0.00036975237946585625,0,0,75.53030303030303,837.9182972858675,GCLC;FOS;SOD2
19,BioPlanet_2019,Cell cycle: G1/S checkpoint,3 of 28,1.700998120085429e-05,0.0003886558680199611,0,0,72.50545454545454,796.2338938513493,CDKN1A;CCND1;CDK1
20,BioPlanet_2019,Oncostatin M,6 of 311,1.7712189047550413e-05,0.0003886558680199611,0,0,12.891147540983606,141.04536482775492,KLF10;JUN;CDKN1A;CCND1;SOD2;CDK5R1
21,BioPlanet_2019,"Androgen receptor signaling, proteolysis, and transcription regulation",4 of 88,1.850742228666481e-05,0.0003886558680199611,0,0,29.58333333333333,322.3796032573378,JUN;CDKN1A;CCND1;FOS
22,BioPlanet_2019,MAPK/TRK pathway,3 of 34,3.084116878007714e-05,0.0006195052163650277,0,0,58.45454545454545,607.1474956261615,EGR1;FOS;CDK5R1
23,BioPlanet_2019,FRA pathway,3 of 37,3.989789745274057e-05,0.000768034525965256,0,0,53.288770053475936,539.7719131881752,JUN;CCND1;ATF4
24,BioPlanet_2019,Cyclin D-associated events in G1,3 of 38,4.3264215430399456e-05,0.000799522701153782,0,0,51.763636363636365,520.1305788280517,CDKN1A;CCND1;MNAT1
25,BioPlanet_2019,FOXM1 transcription factor network,3 of 41,5.446773949824636e-05,0.0009678498326226852,0,0,47.66985645933014,468.0179775163143,CCND1;CDK1;FOS
26,BioPlanet_2019,TGF-beta regulation of extracellular matrix,7 of 565,5.664571269820571e-05,0.0009692710839470756,0,0,8.39463601532567,82.08857896648016,KLF10;ACTA1;MTA1;CCND1;STMN1;SMAD7;CDK5R1
27,BioPlanet_2019,Interleukin-1 regulation of extracellular matrix,4 of 120,6.258164596443844e-05,0.0010325971584132,0,0,21.38793103448276,207.0146083096024,JUN;FOS;SOD2;PTGES
28,BioPlanet_2019,Wnt interactions in lipid metabolism and immune response,3 of 45,7.214694059722266e-05,0.0011493753984798,0,0,43.121212121212125,411.2386205570567,KLF10;CCND1;FOS
29,BioPlanet_2019,Agrin in postsynaptic differentiation,3 of 47,8.223927228069132e-05,0.0011905138614268,0,0,41.15702479338843,387.1179377935321,ITGB1;ACTA1;JUN
