,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,BioPlanet_2019,Lipid and lipoprotein metabolism,61 of 489,5.2447303872280675e-09,6.089131979571786e-06,0,0,2.45633024718316,46.83249565912887,ARF3;SLC27A1;MSMO1;MED15;PPP1CB;MED14;SIN3A;HADH;TEAD1;ABCD1;FADS1;ARSA;STARD4;PCYT1A;HMGCS1;ELOVL6;ACSL4;CEL;LSS;MUT;SREBF2;SUMF1;PISD;MED23;NCOR2;INPP4A;MED22;ACLY;NCOR1;BDH1;GPD2;PRKD1;PI4K2A;ABCG1;PNLIP;MTMR1;PPM1L;LPL;NRF1;HMGCR;MTMR4;HSD17B7;MTMR6;HELZ2;RDH11;MED31;PSAP;SC5D;KDSR;APOE;PPARGC1A;LDLR;PLA2G2F;CHKA;MBOAT7;TXNRD1;CYP51A1;SGPP2;CDK8;GPD1L;RGL1
1,BioPlanet_2019,Interleukin-2 signaling pathway,87 of 847,4.4156947892337586e-08,2.5633108251501963e-05,0,0,1.9856359649122808,33.6277687646266,CDKN1B;CSF1;PDE3B;ARRB2;IFIT1;PKD2;LYST;ETS2;ICAM1;LAPTM4B;CTSO;CCND2;DUSP10;ARHGDIA;PIM1;TRIM21;IER3;SRGN;CPA1;DUSP3;FCER1G;WARS;GPX4;IL1R1;TRAFD1;FLT3LG;VEZF1;ANK2;PPP2R5D;ITPKB;PTP4A1;IL1B;CTDSP2;NINJ1;ATF5;SGK1;FAM8A1;IRF9;BIRC3;SEC22C;RALB;NFIX;AHNAK;ODC1;SLC7A1;SOCS2;AP3M2;STIP1;DNAJB1;MAT2A;RDH11;ATXN7;CAMK2N1;MAP2;CCL5;STK38;CCL4;CTNNA1;REPS2;SFN;FLNB;LDLR;STAT5B;XBP1;JUND;NOP16;STAT1;SLC35E1;TXNRD1;LIMK2;STAT3;MX1;CYP51A1;CFLAR;NFKB1;GCK;GADD45G;MPHOSPH9;COL1A2;ID2;NMT2;PTPN9;TAF4B;PLXNB2;ESYT1;VIM;TAF1
2,BioPlanet_2019,Lysosome,23 of 121,2.61774627905801e-07,8.951677620812893e-05,0,0,3.976027775731231,60.25980980607769,ARSA;CD164;CD63;IDUA;SORT1;GAA;SLC11A2;M6PR;NAGPA;GNS;IGF2R;SGSH;SUMF1;AP3M2;LAPTM4B;GGA1;CTSO;AP1G1;NPC2;PSAP;AP1S2;IDS;AP3S2
3,BioPlanet_2019,T cell receptor regulation of apoptosis,65 of 603,4.367205038781949e-07,8.951677620812893e-05,0,0,2.0775908967268117,30.4241838035423,VIPR1;CDKN1B;AHCYL1;TRAF3IP2;POGK;RASGRF1;PDE3B;TNFAIP3;MSLN;BMI1;ETS2;MRPL3;SEC61A1;LGALS1;ZMYM2;CCND2;ADORA1;PIM1;CASP2;JUNB;IER3;IL15RA;FCER1G;H2AFY;IL1R1;VEZF1;RAD23B;DDIT3;IL1B;CD2BP2;ATF3;HLA-DQB1;BIRC3;HDAC2;CEBPD;SATB1;ODC1;GNAI2;CDC42;CCL5;CCL4;PSMF1;BPTF;MAP3K2;HSPA9;CASP8AP2;JUND;GADD45B;STAT1;TNFRSF9;MX1;CFLAR;NFKB1;NFKBIA;CXCL10;NR4A1;MFAP1;SCD;DNAJA3;BCL3;ERCC2;FOSB;ATM;VIM;UBE2M
4,BioPlanet_2019,TGF-beta regulation of extracellular matrix,62 of 565,4.376068417184853e-07,8.951677620812893e-05,0,0,2.1176811906856337,31.00697141846656,CSF1;CELF2;PEBP1;TNFAIP3;CXCL1;IFIT1;IFIT3;NUDT3;PTPRF;ETS2;RGS4;PIM1;JUNB;FADS1;BRD2;FBXW8;HMGCS1;IL1R1;ARHGEF16;RNASE1;SREBF2;ACLY;PKM;ELF3;NPC2;IL1B;NINJ1;PDE5A;PRKD1;ATF3;ABCG1;IRF9;CCL13;CEBPD;INSIG1;ODC1;PRCC;PDGFA;LPL;HMGCR;MTMR4;CDC42;STK38;SC5D;APOE;PCDH1;MAP3K2;MBTPS1;TXNRD1;LIMK2;IDH2;CHERP;COL1A1;COL1A2;GNPDA1;NFIA;SCD;ID2;SNAI2;ACO1;OSBPL1A;NFE2L1
5,BioPlanet_2019,"Fatty acid, triacylglycerol, and ketone body metabolism",28 of 173,4.626189984916224e-07,8.951677620812893e-05,0,0,3.278031700378279,47.814557091647565,SLC27A1;NRF1;HMGCR;MED15;HELZ2;MED14;SIN3A;MED31;HADH;PPARGC1A;TEAD1;FADS1;HMGCS1;TXNRD1;ACSL4;ELOVL6;MUT;SREBF2;MED23;NCOR2;ACLY;CDK8;MED22;NCOR1;BDH1;GPD2;GPD1L;RGL1
6,BioPlanet_2019,Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha),20 of 112,4.267541636166665e-06,0.0006390239117935099,0,0,3.6741282823934567,45.42865857116404,SLC27A1;HMGCS1;TXNRD1;NRF1;HMGCR;MED15;SREBF2;HELZ2;MED23;NCOR2;CDK8;MED22;MED14;NCOR1;SIN3A;MED31;RGL1;PPARGC1A;TEAD1;FADS1
7,BioPlanet_2019,Signaling by FGFR1 fusion mutants,8 of 19,4.403265542074142e-06,0.0006390239117935099,0,0,12.212741844086455,150.62174956298162,BCR;STAT5B;ZMYM2;STAT1;STAT3;CNTRL;FGFR1OP2;MYO18A
8,BioPlanet_2019,BDNF signaling pathway,34 of 261,4.9740277110147295e-06,0.0006416495747209001,0,0,2.5452997562435,31.081369640041377,IFITM2;TRAF3IP2;WDR1;INSIG1;STIP1;DNAJB1;PPP2R1B;LMNA;SERPINH1;JUNB;FADS1;DDX17;XBP1;GCH1;LMO4;ITGA2;CYP51A1;NR1D2;FNDC3A;GEM;ITPKB;DNAJA1;NR4A1;KRT19;VSNL1;DDIT3;ID2;MAFF;FOSB;RBMS1;HYOU1;SRSF5;OSBPL1A;ATF3
9,BioPlanet_2019,SREBF and miR-33 in cholesterol and lipid homeostasis,7 of 16,1.32215029138254e-05,0.0013464375636385,0,0,13.05061289047054,146.6062268959997,HMGCS1;SCD;HMGCR;MED15;LDLR;PPARGC1A;SREBF2
10,BioPlanet_2019,Developmental biology,46 of 420,1.398087613034575e-05,0.0013464375636385,0,0,2.096577047241184,23.43516117066442,GSK3B;CEBPB;CEBPD;LPL;SLC2A2;MED15;ARHGAP35;NEUROD1;CDC42;HELZ2;STIP1;MED14;AKT2;CFL1;MED31;CTNNA1;PLXNA1;NKX6-1;PPARGC1A;CLASP2;VASP;SMAD4;ITGA2;LIMK2;SIAH1;RHOG;ANK2;HNF1B;MAFA;KLF4;RGMB;NFKB1;GCK;ACVR2A;COL1A1;MED23;NCOR2;MED22;CDK8;MYL6;COL3A1;COL1A2;NCOR1;COL4A1;TCF3;DOCK1
11,BioPlanet_2019,Notch signaling pathway,20 of 121,1.4226544099243026e-05,0.0013464375636385,0,0,3.345126591867108,37.33295427997178,JAG2;GSK3B;HDAC2;CTBP2;DTX3L;MAML1;FBXW7;STAT3;ADAM10;DTX2;DTX3;PSEN1;RFNG;CFLAR;NFKB1;NCOR2;CDK8;NCOR1;RBBP8;BIRC3
12,BioPlanet_2019,FSH regulation of apoptosis,33 of 263,1.507638960146571e-05,0.0013464375636385,0,0,2.4356022808268,27.040983610359607,RAB1A;IFITM2;USPL1;CTNND1;ATP2A2;MSMO1;PTPRF;PAPSS2;ARHGAP35;PPP1CB;RGS4;TUBA1A;APOE;LDLR;IER3;MAP2K3;DUSP3;YTHDF2;CSNK1A1;KIDINS220;STAT1;RAB27A;ISG15;CFLAR;GEM;RAB33B;PTP4A1;NPC2;BCL3;GNB1;PRKD1;SGK1;CDK16
13,BioPlanet_2019,Transcriptional regulation of white adipocyte differentiation,15 of 77,2.274621040619488e-05,0.0018863107343994,0,0,4.07713319458897,43.58908763040005,CEBPB;CEBPD;LPL;KLF4;MED15;NFKB1;MED23;NCOR2;HELZ2;MED22;CDK8;MED14;NCOR1;MED31;PPARGC1A
14,BioPlanet_2019,SREBP control of lipid biosynthesis,5 of 8,2.7807642402513048e-05,0.0021523115219545,0,0,27.924807578448785,292.9368072018769,MBTPS1;HMGCS1;SCAP;LDLR;SREBF2
15,BioPlanet_2019,Cholesterol biosynthesis,8 of 24,3.3240484248535775e-05,0.0024120126382843,0,0,8.394033837934105,86.55711144255017,HMGCS1;CYP51A1;SC5D;MSMO1;HMGCR;HSD17B7;LSS;SREBF2
16,BioPlanet_2019,Interleukin-12-mediated signaling events,13 of 65,5.923020664209989e-05,0.0040450747006751,0,0,4.207737030411449,40.95844423973653,MAP2K3;ATF2;GADD45B;IL1R1;STAT1;STAT3;HLA-A;NFKB1;GADD45G;IL1B;B2M;HLA-DRB1;RAB7A
17,BioPlanet_2019,Immune system,85 of 998,9.940095414225452e-05,0.0064113615421754,0,0,1.598181357447869,14.72939690834447,EIF4A2;ATF2;GSK3B;CDKN1B;IFITM2;UBE3C;TNFAIP3;IFIT1;IFIT3;ICAM1;OASL;PANX1;SEC61A1;NPEPPS;CTSO;PPP2R1B;UBE2Q2;AP1G1;AKT2;KIF5B;CDC27;AP1S2;FBXO3;CASP2;KPNA4;IKBKE;TRIM21;B2M;MAP2K3;DUSP3;FBXW8;DTX3L;FBXW7;FBXW11;DDX58;IL1R1;PPP2R5D;HLA-A;DYNLL2;PRLR;YWHAZ;LRRC41;IL1B;CANX;RAPGEF1;TAX1BP1;SQSTM1;IRF9;RAPGEF4;BIRC3;HLA-DQB1;RAB7A;CD274;FBXO44;RAP1GAP;SOCS2;CDC42;KIF3B;HECTD3;FLNB;PSMF1;HLA-DQA1;SEC31A;UBE2F;VASP;RAP1GAP2;STAT5B;CD74;SMURF2;STAT1;STAT2;STAT3;MX1;ISG15;NFKB1;NFKBIA;NR4A1;UBA3;ASB7;TRIP12;OSBPL1A;SEC24C;HLA-DRB1;MYD88;UBE2M
18,BioPlanet_2019,Signaling by NOTCH,18 of 119,0.00012378768681602602,0.0075640791786003,0,0,3.0052040244455718,27.037648298405987,JAG2;TLE3;HDAC2;B4GALT1;MAML1;FBXW7;ATP2A3;ADAM10;ATP2A2;DTX2;PSEN1;ARRB2;RFNG;NCOR2;CDK8;NCOR1;AGO1;RAB6A
19,BioPlanet_2019,Signaling by NGF,27 of 221,0.00013697473606710505,0.0076333791160655,0,0,2.354255378753922,20.942782667516138,GSK3B;HDAC2;CDKN1B;RALB;RASGRF1;PSEN1;ADCY6;FGD2;FGD4;PPP2R1B;AKT2;PRKAR2A;ARHGDIA;CASP2;LINGO1;DUSP3;KIDINS220;STAT3;ARHGEF16;FRS2;PPP2R5D;NFKB1;NFKBIA;NR4A1;RAPGEF1;SQSTM1;MYD88
20,BioPlanet_2019,Interleukin-1 regulation of extracellular matrix,18 of 120,0.0001380714568797382,0.0076333791160655,0,0,2.9755826859045507,26.44620289030749,SRGN;ATF2;IL15RA;CCL13;TXNRD1;TNFAIP3;CXCL1;NFKB1;HAPLN1;DCN;ICAM1;RGS4;NFKBIA;COL1A2;IL1B;CCL5;CCL4;BIRC3
21,BioPlanet_2019,Signaling by FGFR1 mutants,8 of 30,0.000195296725653326,0.0103063408401596,0,0,6.102809034242694,52.12403389903756,BCR;STAT5B;ZMYM2;STAT1;CNTRL;FGFR1OP2;STAT3;MYO18A
22,BioPlanet_2019,Myc repressed pathway,13 of 73,0.00020454369776551205,0.010325010135033,0,0,3.64515503875969,30.96460394132077,ZBTB17;SMAD4;CDKN1B;CEBPD;CFLAR;NDRG1;LGALS1;COL1A2;CSDE1;DDIT3;CCL5;ID2;ALDH9A1
23,BioPlanet_2019,Thymic stromal lymphopoietin (TSLP) pathway,14 of 90,0.0005073787898291416,0.0237310022904074,0,0,3.099255524666636,23.511735633366328,IL15RA;CCL13;CD274;CSF1;IL1R1;TNFRSF9;CXCL1;ICAM1;CXCL10;CLDN4;IL1B;CCL4;BCL3;CCL18
