,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,BioPlanet_2019,Translation,84 of 151,1.9843200011922725e-64,2.1966422413198458e-61,0,0,22.446567164179104,3292.4662800349884,RPL4;RPL5;RPL30;TRAM1;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;SSR2;RPL22;RPS6;SSR3;DDOST;SRP9;EEF1G;RPL37A;RPL24;RPL26;RPL29;RPL28;RPN2;RPL12;RPN1;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;SSR1;RPL15;RPS2;RPL18;RPL17;SEC11C;RPL35A;RPL23A;EEF2;RPS26;RPS25;SPCS3;RPS28;SPCS2;EIF5;RPS27;SPCS1;RPS29;RPS20;RPL22L1;EIF3F;FAU;RPS21;EIF3A;RPS23
1,BioPlanet_2019,Cytoplasmic ribosomal proteins,66 of 108,1.5521127705666568e-54,8.590944185086445e-52,0,0,27.69716425896201,3431.6780407166816,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPS6KA2;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DNAJC3;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;EIF3F;FAU;RPS21;EIF3A;RPS23
2,BioPlanet_2019,Influenza viral RNA transcription and replication,64 of 125,3.2350076374123086e-46,1.1937178182051421e-43,0,0,18.43909912670446,1931.4012804475096,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;HSP90AA1;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DNAJC3;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;FAU;RPS21;RPS23
3,BioPlanet_2019,Influenza infection,67 of 142,2.392299035988972e-45,5.779617627393115e-43,0,0,15.732546079350204,1616.4258839564447,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;CLTA;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;HSP90AA1;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DNAJC3;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;CALR;FAU;RPS21;RPS23;HSPA1A
4,BioPlanet_2019,Protein metabolism,115 of 442,2.6104867332398892e-45,5.779617627393115e-43,0,0,6.398264773583263,656.8253391767065,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;PROS1;RPL8;RPL10A;RPL9;TOMM20;RPL6;RPL7;TOMM22;RPS15;EEF1B2;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;PDIA3;RPS9;ST6GAL1;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DPM3;RPL24;RPL26;RPL29;RPL28;RPN2;RPN1;MAN2A2;ST3GAL4;SSR1;MLEC;GFPT1;TBCD;EEF2;RPS26;RPS25;RPS28;EIF5;RPS27;RPS29;RPS20;CALR;RPS21;RPS23;MCFD2;TRAM1;PIGP;HSCB;ATP5G1;RPS4X;RPL7A;SEC61G;RPLP2;TIMM17B;SEC61B;EIF5A;VKORC1;CCT2;SSR2;SSR3;SRP9;DDOST;PIGC;EEF1G;DAD1;RPL37A;RFT1;B4GALT6;SLC25A4;PFDN5;RPL12;RPL11;RPL36A;FURIN;LMAN1;GANAB;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;UGGT1;MUC4;SEC11C;CCT4;RPL35A;RPL23A;TUBB4B;SPCS3;SPCS2;SPCS1;EIF3F;FAU;EIF3A
5,BioPlanet_2019,Cap-dependent translation initiation,39 of 73,1.5017413164701005e-29,2.7707127288873355e-27,0,0,19.727316680096692,1309.2693077495478,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL12;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL7A;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPL15;RPL18;RPL39;RPL17;RPL21;RPL23;RPL22;RPL35A;RPL23A;EIF5;RPL37A;RPL24;RPL26;EIF3F;RPL29;RPL28;EIF3A
6,BioPlanet_2019,Disease,118 of 674,9.783787880562435e-29,1.5472361691118026e-26,0,0,3.824739421061576,246.67366590349863,RPL4;RPL5;APP;RPL30;RPL3;RPL31;RPL34;GTF2B;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS17;PSMD7;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;PRKACA;RPS11;PRKACB;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;SLC30A5;RPL22;RPS6;HLA-A;PDIA6;PDIA5;ERN1;RPL24;RPL26;RPL29;RAF1;RPL28;STAM2;ATF4;HIST1H2BC;TSG101;HSP90B1;SSR1;GFPT1;RPS26;RPS25;RPS28;RPS27;RPS29;CDK1;RPS20;CALR;MNAT1;RPS21;ITM2B;RPS23;SNAP25;ARF1;CDKN1A;FKBP14;CLTA;PSIP1;HERPUD1;RPS4X;RPL7A;SERP1;RPLP2;HSP90AA1;H2AFZ;DNAJC3;PSMA2;RPL37A;SLC25A4;CD44;PAPPA2;RPL12;RPL11;CXXC1;RPL36A;CST3;PPP2CB;RPS15A;RPL14;RPS3;DNAJB9;RPL15;RPS2;RPL18;STX2;ATP6V0E2;RPL17;EPS15;SEC11C;NFYA;EGF;RPL35A;PTPN11;RPL23A;GTF2H2;SPCS3;SPCS2;SPCS1;PSMC4;SPRY2;HDGF;FAU;HSPA1A
7,BioPlanet_2019,"Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",29 of 57,1.6376410158001565e-21,2.2660857556134664e-19,0,0,17.656819650937297,845.0735776937491,RPS15;RPS4X;RPS17;RPS16;RPS15A;RPS19;RPS18;RPS3;RPS2;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS5;RPS6;RPS26;RPS25;RPS28;EIF5;RPS27;RPS29;RPS20;EIF3F;FAU;RPS21;EIF3A;RPS23
8,BioPlanet_2019,Gene expression,118 of 968,1.5350874340260766e-15,1.888157543852074e-13,0,0,2.461658175081056,83.96762574133314,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;GTF2B;UBE2D3;RPL8;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS17;PSMD7;RPS16;RPL18A;RPS19;RPS18;RPL36;PAPOLA;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RNF111;RPS13;RPS12;ZNF18;RPS9;ZNF560;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;MED4;MED7;TBL1XR1;RPL24;RPL26;RPL29;RPL28;HIST1H2BC;SET;RPN2;RPN1;NEDD4L;ZNF25;PCBP2;SSR1;HSPA8;CBX3;ESRRG;EEF2;SMAD7;HNRNPL;RPS26;NR4A2;RPS25;RPS28;EIF5;HNRNPK;RPS27;RPS29;RPS20;MNAT1;ZNF136;RPS21;RPS23;TRAM1;HSPB1;YBX1;RPS4X;RPL7A;HNF4A;SEC61G;UBTF;RPLP2;SEC61B;H2AFZ;SSR2;SSR3;SRP9;DDOST;EEF1G;PSMA2;RPL37A;RPL12;RPL11;RPL36A;RPS15A;TGS1;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;SEC11C;ZNF583;RPL35A;RPL23A;GTF2H2;SPCS3;SPCS2;SPCS1;PSMC4;HNRNPA2B1;EIF3F;FAU;EIF3A;HSPA1A
9,BioPlanet_2019,Electron transport chain,29 of 105,5.068452385023826e-13,5.6107767902213756e-11,0,0,6.488568706834961,183.69508303503136,NDUFB9;COX7B;NDUFB10;UQCRB;COX4I1;COX7A2;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;COX7C;ATP5L;SLC25A27;ATP5E;UCP2;COX8A;SURF1;NDUFA7;NDUFA4;ATPIF1;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;COX7A2L;UQCRQ;SLC25A4
