,0,1,2,3,granger_scores
184,Arid3a,Cdk1,Unknown,23659165,-71.773796
263,Atf2,Atf3,Activation,10979959;20581861;8576171,66.82413
264,Atf2,Ccnd1,Activation,10464245;10915780,88.95751
265,Atf2,Cdkn1a,Unknown,10506225,143.29723
269,Atf2,Dusp10,Unknown,17681939,17.980392
281,Atf2,Jun,Activation,9502786,-57.06355
296,Atf3,Adipor1,Repression,20696134,-44.064083
301,Atf3,Ccl5,Unknown,10760799,63.8987
303,Atf3,Ddit3,Activation,22753726,52.70145
308,Atf3,Ldlr,Repression,21294679,89.77527
313,Atf4,Apoe,Activation,22028770,-74.75378
316,Atf4,Atf3,Activation,16246168;21801305,104.74596
317,Atf4,Atf3,Unknown,22819556,104.74596
321,Atf4,Ccl2,Unknown,16931790,-91.08644
322,Atf4,Cebpb,Activation,16026328,32.671257
323,Atf4,Chac1,Activation,21737788,89.833885
325,Atf4,Ddit3,Activation,16246168;17276738;20020050;21044953;21966512,126.006516
326,Atf4,Ddit3,Unknown,17455323;22691366,126.006516
341,Atf4,Nupr1,Activation,19946894,-36.093407
359,Atf5,Egr1,Unknown,19531563,-93.973755
381,Atm,Cdkn1a,Unknown,12420214,-119.118614
382,Atm,Cflar,Activation,19351839,32.141323
383,Atm,Cflar,Repression,20876284,32.141323
421,Bcl3,Nfkb1,Repression,11387332,24.778994
422,Bcl3,Nfkb1,Unknown,14573596;7896265,24.778994
445,Bhlhe41,Ccnd1,Repression,18223678,26.243639
530,Btf3,Atm,Activation,17312387,-28.350983
535,Btf3,Nfkb1,Repression,17312387,210.27336
538,Btg2,Ccnd1,Repression,15870875;16849553,81.0771
656,Cebpb,Cdkn1a,Activation,15041706,-185.4348
668,Cebpb,Ddit3,Unknown,16757577,49.44445
671,Cebpb,Furin,Activation,8132667,-127.07619
672,Cebpb,Gadd45g,Unknown,11012671,55.923943
682,Cebpb,Il1b,Activation,17386941,139.36154
683,Cebpb,Il1b,Unknown,10383163;10801783,139.36154
719,Cebpb,Xbp1,Activation,19717648,125.3309
725,Cebpd,Ddit3,Activation,20971808,63.100433
726,Cebpd,Ddit3,Repression,22347430,63.100433
727,Cebpd,Gadd45g,Unknown,11012671,63.20766
728,Cebpd,Gapdh,Unknown,12842822,-32.674427
1076,Dach1,Fos,Repression,17182846,-197.11371
1090,Ddit3,Atf2,Repression,16164412,-92.0809
1091,Ddit3,Atf5,Repression,16164412,64.47835
1401,Egf,Stat1,Unknown,11939722,-93.56401
1406,Egr1,Ache,Unknown,7559515,52.61849
1412,Egr1,Atf3,Activation,21205742,-110.33935
1413,Egr1,Atf3,Unknown,16489044,-110.33935
1416,Egr1,Ccnd1,Activation,11502738,76.510185
1417,Egr1,Ccnd1,Unknown,20590664,76.510185
1418,Egr1,Ccnd2,Unknown,20590664,-47.111233
1420,Egr1,Cdk5r1,Activation,15289351,63.79037
1421,Egr1,Cdkn1a,Activation,12690110,53.835155
1459,Egr1,Ldlr,Activation,12235180,-61.71812
1460,Egr1,Ldlr,Unknown,12947119,-61.71812
1468,Egr1,Nfkb1,Unknown,10671503,-105.17418
1479,Egr1,Ptges,Activation,21983014,107.184235
1481,Egr1,Ptp4a1,Unknown,9988683,-54.376316
1483,Egr1,Slc4a2,Activation,22228178,-34.729397
1484,Egr1,Slc4a2,Unknown,23121767,-34.729397
1490,Egr1,Stmn1,Unknown,19786090,34.349888
