,0,1,granger_scores,activation,both_increasing
184,Arid3a,Cdk1,-71.773796,False,True
323,Atf4,Chac1,89.833885,True,True
538,Btg2,Ccnd1,81.0771,True,True
1406,Egr1,Ache,52.61849,True,True
1416,Egr1,Ccnd1,76.510185,True,True
1420,Egr1,Cdk5r1,63.79037,True,True
1421,Egr1,Cdkn1a,53.835155,True,True
1479,Egr1,Ptges,107.184235,True,True
1490,Egr1,Stmn1,34.349888,True,True
2067,Fos,Acta1,167.2813,True,True
2071,Fos,Cck,28.340088,True,True
2073,Fos,Ccnd1,-32.503593,False,True
2075,Fos,Clu,52.37609,True,True
2123,Fos,Smad7,81.75845,True,True
2986,Hmgn1,Fos,-99.47733,False,True
3179,Hsf2,Fos,166.12663,True,True
3386,Jun,Acta1,162.21573,True,True
3390,Jun,App,110.26288,True,True
3397,Jun,Bex2,81.75531,True,True
3400,Jun,Cck,33.581467,True,True
3403,Jun,Ccnd1,-74.42383,False,True
3407,Jun,Cdk5r1,78.95734,True,True
3408,Jun,Cdkn1a,52.033245,True,True
3430,Jun,Ezh2,-36.32307,False,True
3439,Jun,Gclc,49.26218,True,True
3532,Jun,Smad7,112.2769,True,True
3534,Jun,Sod2,91.57182,True,True
3540,Jun,Stmn1,31.898756,True,True
3648,Klf10,Cdkn1a,45.97359,True,True
3654,Klf10,Stmn1,36.592144,True,True
4059,Mta1,Mnat1,91.986145,True,True
4065,Mta1,Smad7,79.248795,True,True
4068,Mta1,Sumo2,91.02121,True,True
5375,Pax6,Itgb1,80.063416,True,True
5813,Ptma,Cdkn1a,94.03991,True,True
6788,Smad7,Cdkn1a,63.709053,True,True
9120,Xpc,Rnf111,187.87267,True,True
9150,Ybx1,Mnat1,70.19669,True,True
9157,Ybx1,Top2a,39.695057,True,True
