,0,1,granger_scores,activation,both_increasing
184,Arid3a,Cdk1,-71.773796,False,True
263,Atf2,Atf3,66.82413,True,False
264,Atf2,Ccnd1,88.95751,True,False
265,Atf2,Cdkn1a,143.29723,True,False
281,Atf2,Jun,-57.06355,False,False
296,Atf3,Adipor1,-44.064083,False,False
301,Atf3,Ccl5,63.8987,True,False
303,Atf3,Ddit3,52.70145,True,False
308,Atf3,Ldlr,89.77527,True,False
313,Atf4,Apoe,-74.75378,False,False
316,Atf4,Atf3,104.74596,True,False
321,Atf4,Ccl2,-91.08644,False,False
322,Atf4,Cebpb,32.671257,True,False
323,Atf4,Chac1,89.833885,True,True
325,Atf4,Ddit3,126.006516,True,False
341,Atf4,Nupr1,-36.093407,False,False
359,Atf5,Egr1,-93.973755,False,False
381,Atm,Cdkn1a,-119.118614,False,False
382,Atm,Cflar,32.141323,True,False
445,Bhlhe41,Ccnd1,26.243639,True,False
530,Btf3,Atm,-28.350983,False,False
535,Btf3,Nfkb1,210.27336,True,False
538,Btg2,Ccnd1,81.0771,True,True
656,Cebpb,Cdkn1a,-185.4348,False,False
668,Cebpb,Ddit3,49.44445,True,False
671,Cebpb,Furin,-127.07619,False,False
672,Cebpb,Gadd45g,55.923943,True,False
682,Cebpb,Il1b,139.36154,True,False
719,Cebpb,Xbp1,125.3309,True,False
725,Cebpd,Ddit3,63.100433,True,False
727,Cebpd,Gadd45g,63.20766,True,False
728,Cebpd,Gapdh,-32.674427,False,False
1076,Dach1,Fos,-197.11371,False,False
1090,Ddit3,Atf2,-92.0809,False,False
1091,Ddit3,Atf5,64.47835,True,False
1406,Egr1,Ache,52.61849,True,True
1412,Egr1,Atf3,-110.33935,False,False
1416,Egr1,Ccnd1,76.510185,True,True
1418,Egr1,Ccnd2,-47.111233,False,False
1420,Egr1,Cdk5r1,63.79037,True,True
1421,Egr1,Cdkn1a,53.835155,True,True
1459,Egr1,Ldlr,-61.71812,False,False
1468,Egr1,Nfkb1,-105.17418,False,False
1479,Egr1,Ptges,107.184235,True,True
1481,Egr1,Ptp4a1,-54.376316,False,False
1483,Egr1,Slc4a2,-34.729397,False,False
1490,Egr1,Stmn1,34.349888,True,True
1665,Ercc2,Cdkn1a,-140.00836,False,False
1975,Etv6,Cdkn1a,-87.014,False,False
2067,Fos,Acta1,167.2813,True,True
2071,Fos,Cck,28.340088,True,True
2073,Fos,Ccnd1,-32.503593,False,True
2075,Fos,Clu,52.37609,True,True
2081,Fos,Ddit3,86.64324,True,False
2091,Fos,Hsph1,101.60897,True,False
2104,Fos,Nfkb1,-76.54336,False,False
2109,Fos,Npy,-337.19922,False,False
2122,Fos,Smad4,-38.56621,False,False
2123,Fos,Smad7,81.75845,True,True
2229,Foxk2,Sin3a,37.839863,True,False
2680,Hdac2,Ccl2,92.46633,True,False
2681,Hdac2,Ccne1,-42.77433,False,False
2684,Hdac2,Cdkn1a,-87.148476,False,False
2685,Hdac2,Col1a2,52.98601,True,False
2692,Hdac2,Klf4,-81.64595,False,False
2697,Hdac2,Snai2,-62.8279,False,False
2802,Hdgf,Vim,-96.74124,False,False
2986,Hmgn1,Fos,-99.47733,False,True
3179,Hsf2,Fos,166.12663,True,True
3198,Id3,Tcf3,44.446518,True,False
3368,Irf9,Ccnd2,56.515064,True,False
3369,Irf9,Cdkn1a,-56.72442,False,False
3370,Irf9,Cdkn1b,64.788345,True,False
3371,Irf9,Ifit3,88.43136,True,False
3386,Jun,Acta1,162.21573,True,True
3390,Jun,App,110.26288,True,True
3393,Jun,Atf3,-110.98897,False,False
3397,Jun,Bex2,81.75531,True,True
3400,Jun,Cck,33.581467,True,True
3401,Jun,Ccl2,-59.16019,False,False
3402,Jun,Ccl5,-57.6982,False,False
3403,Jun,Ccnd1,-74.42383,False,True
3407,Jun,Cdk5r1,78.95734,True,True
3408,Jun,Cdkn1a,52.033245,True,True
3411,Jun,Csf1,-89.82625,False,False
3422,Jun,Dcn,-48.39381,False,False
