,stressor,Gene_set_Term,Genes
0,increasing_in_obesity,BioPlanet_2019_Translation,RPL4;RPL5;RPL30;TRAM1;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;SSR2;RPL22;RPS6;SSR3;DDOST;SRP9;EEF1G;RPL37A;RPL24;RPL26;RPL29;RPL28;RPN2;RPL12;RPN1;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;SSR1;RPL15;RPS2;RPL18;RPL17;SEC11C;RPL35A;RPL23A;EEF2;RPS26;RPS25;SPCS3;RPS28;SPCS2;EIF5;RPS27;SPCS1;RPS29;RPS20;RPL22L1;EIF3F;FAU;RPS21;EIF3A;RPS23
1,increasing_in_obesity,BioPlanet_2019_Cytoplasmic ribosomal proteins,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPS6KA2;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DNAJC3;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;EIF3F;FAU;RPS21;EIF3A;RPS23
2,increasing_in_obesity,BioPlanet_2019_Influenza viral RNA transcription and replication,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;HSP90AA1;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DNAJC3;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;FAU;RPS21;RPS23
3,increasing_in_obesity,BioPlanet_2019_Influenza infection,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;CLTA;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;HSP90AA1;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DNAJC3;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPS20;CALR;FAU;RPS21;RPS23;HSPA1A
4,increasing_in_obesity,BioPlanet_2019_Protein metabolism,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;PROS1;RPL8;RPL10A;RPL9;TOMM20;RPL6;RPL7;TOMM22;RPS15;EEF1B2;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;PDIA3;RPS9;ST6GAL1;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;DPM3;RPL24;RPL26;RPL29;RPL28;RPN2;RPN1;MAN2A2;ST3GAL4;SSR1;MLEC;GFPT1;TBCD;EEF2;RPS26;RPS25;RPS28;EIF5;RPS27;RPS29;RPS20;CALR;RPS21;RPS23;MCFD2;TRAM1;PIGP;HSCB;ATP5G1;RPS4X;RPL7A;SEC61G;RPLP2;TIMM17B;SEC61B;EIF5A;VKORC1;CCT2;SSR2;SSR3;SRP9;DDOST;PIGC;EEF1G;DAD1;RPL37A;RFT1;B4GALT6;SLC25A4;PFDN5;RPL12;RPL11;RPL36A;FURIN;LMAN1;GANAB;RPS15A;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;UGGT1;MUC4;SEC11C;CCT4;RPL35A;RPL23A;TUBB4B;SPCS3;SPCS2;SPCS1;EIF3F;FAU;EIF3A
5,increasing_in_obesity,BioPlanet_2019_Cap-dependent translation initiation,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;RPL12;RPL11;RPL36A;RPL10A;RPL8;RPL9;RPL6;RPL7;RPL7A;RPL18A;RPL36;RPL14;RPL35;RPLP2;RPL38;RPL37;RPL15;RPL18;RPL39;RPL17;RPL21;RPL23;RPL22;RPL35A;RPL23A;EIF5;RPL37A;RPL24;RPL26;EIF3F;RPL29;RPL28;EIF3A
6,increasing_in_obesity,BioPlanet_2019_Disease,RPL4;RPL5;APP;RPL30;RPL3;RPL31;RPL34;GTF2B;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS17;PSMD7;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;PRKACA;RPS11;PRKACB;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPL23;RPS5;SLC30A5;RPL22;RPS6;HLA-A;PDIA6;PDIA5;ERN1;RPL24;RPL26;RPL29;RAF1;RPL28;STAM2;ATF4;HIST1H2BC;TSG101;HSP90B1;SSR1;GFPT1;RPS26;RPS25;RPS28;RPS27;RPS29;CDK1;RPS20;CALR;MNAT1;RPS21;ITM2B;RPS23;SNAP25;ARF1;CDKN1A;FKBP14;CLTA;PSIP1;HERPUD1;RPS4X;RPL7A;SERP1;RPLP2;HSP90AA1;H2AFZ;DNAJC3;PSMA2;RPL37A;SLC25A4;CD44;PAPPA2;RPL12;RPL11;CXXC1;RPL36A;CST3;PPP2CB;RPS15A;RPL14;RPS3;DNAJB9;RPL15;RPS2;RPL18;STX2;ATP6V0E2;RPL17;EPS15;SEC11C;NFYA;EGF;RPL35A;PTPN11;RPL23A;GTF2H2;SPCS3;SPCS2;SPCS1;PSMC4;SPRY2;HDGF;FAU;HSPA1A
7,increasing_in_obesity,"BioPlanet_2019_Activation of mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",RPS15;RPS4X;RPS17;RPS16;RPS15A;RPS19;RPS18;RPS3;RPS2;RPS11;RPS10;RPS13;RPS12;RPS9;RPS7;RPS5;RPS6;RPS26;RPS25;RPS28;EIF5;RPS27;RPS29;RPS20;EIF3F;FAU;RPS21;EIF3A;RPS23
8,increasing_in_obesity,BioPlanet_2019_Gene expression,RPL4;RPL5;RPL30;RPL3;RPL31;RPL34;GTF2B;UBE2D3;RPL8;RPL10A;RPL9;RPL6;RPL7;EEF1B2;RPS15;RPS17;PSMD7;RPS16;RPL18A;RPS19;RPS18;RPL36;PAPOLA;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RNF111;RPS13;RPS12;ZNF18;RPS9;ZNF560;RPL21;RPS7;RPL23;RPS5;RPL22;RPS6;MED4;MED7;TBL1XR1;RPL24;RPL26;RPL29;RPL28;HIST1H2BC;SET;RPN2;RPN1;NEDD4L;ZNF25;PCBP2;SSR1;HSPA8;CBX3;ESRRG;EEF2;SMAD7;HNRNPL;RPS26;NR4A2;RPS25;RPS28;EIF5;HNRNPK;RPS27;RPS29;RPS20;MNAT1;ZNF136;RPS21;RPS23;TRAM1;HSPB1;YBX1;RPS4X;RPL7A;HNF4A;SEC61G;UBTF;RPLP2;SEC61B;H2AFZ;SSR2;SSR3;SRP9;DDOST;EEF1G;PSMA2;RPL37A;RPL12;RPL11;RPL36A;RPS15A;TGS1;RPL14;RPS3;RPL15;RPS2;RPL18;RPL17;SEC11C;ZNF583;RPL35A;RPL23A;GTF2H2;SPCS3;SPCS2;SPCS1;PSMC4;HNRNPA2B1;EIF3F;FAU;EIF3A;HSPA1A
9,increasing_in_obesity,BioPlanet_2019_Electron transport chain,NDUFB9;COX7B;NDUFB10;UQCRB;COX4I1;COX7A2;ATP5H;ATP5G3;UQCR10;ATP5G2;ATP5G1;COX7C;ATP5L;SLC25A27;ATP5E;UCP2;COX8A;SURF1;NDUFA7;NDUFA4;ATPIF1;NDUFA2;NDUFA1;NDUFC2;COX6C;COX6B1;COX7A2L;UQCRQ;SLC25A4
