,PDAC model,4m
OB/OB AT 1,26.69589293954776,29.067020111796232
Uncommitted,29.995385325334563,25.909064715034866
HFD AT 3,7.666128287955699,20.35382930905319
OB/OB AT 2,3.149515459160129,8.499971186538351
OB/OB AT 3,8.779418550992155,6.869129257188959
WT AT 5,0.7844946931241348,3.578631936840892
HFD AT 1,7.769958467928011,3.3193107819973493
WT AT 7,5.670281495154591,1.371520774505849
WT AT 4,0.9690816797415782,0.40338846308995563
WT AT 1,4.055145362251961,0.316948078142108
WT AT 3,1.5170742962621135,0.10372846193741717
WT AT 2,0.7325796031379788,0.09796576960756065
HFD AT 4,1.2401938163359483,0.04610153863885207
HFD AT 2,0.2999538532533456,0.03457615397913905
WT AT 6,0.6748961698200276,0.028813461649282546
